stars,comment 
4.0 out of 5 stars,"First of all Thanks Amazon for sending it on Time but upset that unable to club the offer of free ear phones with no cost emi.It's my first one plus phone so there was excitement.Phone is fast n furious no doubt . Simple and easy to used. Picture quality is amazing . Earpiece volume is low . Comparatively low for both ear piece . Don't have interest in gaming so can't tell about gaming. Company fitted scratcguard is of not that great quality. It got scractes on first day used. No music player App apart from Google play. Battery life is good .I am heavy internet user so Battery life is awesome. So it's half review. Probably after one month I can tell you about final review.So its been 2 month now and after using heavily I can tell this is super fast . Great for gaming.Pros :1.Fast2.Super Battery ( Plus Point )3. Camera is comparatively good.Concern :1.Speaker isn't great .2. Back panel has to be sturdy . It's vibrate during call.2. Doesn't give rich feeling but okay.
            "
4.0 out of 5 stars,"When I got this product i was very doubtful about the fingerprint sensor .It still a hit or miss but works like a charm 90% of the time.The battery quality is damn good 😍 and as for the UI it's super smoooth,speakers could have been better,camera is good only performs average on low lightings.The only cons for me was not providing a headphone jack,apart from that it's a good phone to consider under 40K,and gaming is damn good on this device,i got nearly 4hr screen on time while playing pubg continously(wouldn't recommend playing this long though) and due to dash charge low battery is not an issue.
            "
4.0 out of 5 stars,"I was using OnePlus 3t for the past two years...3t was a excellent one..so want to go for the new one and bought 6t..Pro:1.Battery is reasonably good.2.No lags3.Almost stock android experience..4.As usual fast and smooth..5.available with back cover and scratch guard..so no need to spend extra6.looks premiumCons1.Removal of conventional headphone jack..remember it is not completely removed but can be used via converter2.display seems to be very dull..I don't know why but may be due to battery saving technique ..3.no led notification4.one handed operation is difficult ..5.camera is big let down..with all the hype I thought the camera is going to be good but it's not .very worst..don't even think about comparing the pictures of iPhone , s9+ and pixel with this one..
            "
4.0 out of 5 stars,"Well after using Oneplus 6T for almost 1 month I can say this one of the best affordable flagship phone avialble.Pro1 This phone is fast I mean it's super smooth till now I have not experienced any kind of lag yet.2 Oxygen Os is clean and let you optimize your phone which quite cool.3 This phone is water resistant (water proof)4 Dash charging is awesomeCon1 ain display fingerprint senser is slow and sometimes not accurate.2 Camera performance in night is not that great.3 you will miss headphone jack.But I still recommend this phone as it fast and smooth
            "
5.0 out of 5 stars,"Pros:-1)6-8hrs battery backup.2)Performance is great.3)Gaming graphics is great.4)Dark theme support is great for battery and looks great too.5) 4k 60 fps and 1080 60fps videos are mind-blowing. Others complaining about poor video quality must have forgot to change the video quality select option.Cons:-1)Some software bugs are still present. Sometimes apps are stuck on download pending in playstore.2)Camera is good but not that great when compared with other flagships.3)Headphone jack missing.but that's debatable.4)Ram management is not that great.5)Biggest problem i found is everything about the speakers- no stereo speakers, positioning of speakers is bad because it's easily covered while gaming thus forcing you to use headphones.6) Face unlock is great but not that fast like you might have seen in review videos wherein the faceunlock unlocks without showing the lockscreen. That's not the case in reality.it does show lockscreen for almost a second. But that maybe resolved by updates.7) Fingerprint scanner is fast but the screen lights up to100% brightness inorder to scan the finger, which is a little bit annoying.8) Audio via headphones is not impressive for its price.
            "
5.0 out of 5 stars,"This phone is a beast to say the least. SD 845 processor can handle anything and everything thrown at it. It's butter smooth and looks very classy. All glass body looks very premium in nature. Battery has not been that good since I have been using it. Maybe it is due to some rogue app draining it faster. Nevertheless it's a complete package from OnePlus. I've been a loyal OnePlus user since the day they launched in India. They never disappoint their customers to say the least. This latest offering from OnePlus is surely the best they have had till date.
            "
1.0 out of 5 stars,"Got a defect one.. at right top you can find a dot which inside the  screen !! onlynd out only after I removed the scratch card. My piece of advice for everyone kindly buy the product in authorized one plus show room or experience center. Because you don't have to loose your money like me. Even this defect is found by the one plus show room guy. They showed me that screen is defect. We buy one product for 38k but didn't know whether the new one is in good condition or not. So better buy in retail store where we can experience it . Alast don't loose money like me . I even asked them no option of return. Only to change the screen . You know once to done something like that. You loose the feel of Special.Atleast it is my feel.Dont forget to remove the scratch card as soon as you bought the device .
            "
4.0 out of 5 stars," apologies for the seemingly 'clickbait' title of this review. i'll be as concise as i can.tl;dr: great battery life, a well tuned camera. go for it (this isn't a paid/fake review lol)!CAMERA: has a really high dynamic range. i have been doing street photography since two years now, all based out of a phone camera, as opposed to a dslr or something. although previously i have used budget devices (occasionally a flagship phone belonging to someone else), i have learned a lot. since my genre involves capturing a quick moment, a good/smart hdr process really comes handy. this phone retains details in the HIGHLIGHTS much, much better than a galaxy s9/note 9, iphone x, comparable to pixel 2xl. nope, no exxageration. zoom performance is okay, as it's digital. the secondary lens seems gimmicky, with the company claiming it to help with depth sensing. on covering the second lens, a message does pop up (in the portrait mode). i feel like they can utilize it better with different algorithms. i see wasted potential. the hardware is the same as op6. NIGHT SIGHT from the ported gcam app is INSANE. the stock app is also great at processing photos in LOWLIGHT. if you're like me, if you feel like capturing something in the middle of the night because it looks magical, this camera will not let you down.VIDEO: if you have tried any sort of filmmaking, you'll understand the importance of shooting in 60fps over 30. NOTE- ois is used for 1080/4k 60fps. eis is used for 1080/4k 30fps. eis is amazing during the day, but falls short at night. 4k 60 means you don't get as much light information at night, but it'll have better stabilization. i wish there was some way to manually change that. the final output, once you realize these certain points and use it to your advantage, then it's amazing! TRUST ME.SELFIE: video called to 1080p with eis, has a great dynamic range. but, i feel like the gcam mode performs better while taking selfies, especially selfie portraits.CAMERA final thoughts: if you know what you're doing, GO BUY THIS PHONE.if camera isn't as important to you, then please read on. 4 times out of 5 you'll be happy with what you capture.*just realized i said i'll be concise hahahah* *i'll try again*BATTERY LIFE: the first few days of extreme heavy usage set me back a bit disappointed, as i got a bit more than 6 hours of sot. DON'T MISUNDERSTAND- it's good. definitely. but it didn't quite match up to what i saw online. so get this, i'm not the only one who felt that way.BUT WAIT! after using this phone for 3 weeks (give or take) battery life has improved. i have provided a screenshot for the initial usage, which shows a little over 6 hours. YESTERDAY, i got nearly TEN HOURS.if you're an average user, but still feel like you use the phone heavily because of a few gaming sessions, you won't be disappointed. i don't play games much, but my camera usage is extreme. that explained why i felt disappointed.BATTERY FINAL THOUGHTS? most of you out there can use this phone easily for an entire day. if you're a casual user, then you'll be VERY happy with the battery backup.CHARGING: dash/rapid/warp charge- as fast as ever. 10/10. doesn't throttle the performance. neither does the charging slow down with simultaneous use.SCREEN: I LOVE THE ABILITY TO CHOOSE DIFFERENT CALIBRATED MODES! oneplus does it right. it's quite accurate. i use dci-p3. for most default is best, as the colors have a lot of saturation, with inky blacks. GOOD brightness, not great though with direct sunlight. BUT WAIT! a paid app (search high brightness mode) enables the actual potential. NOT KIDDING. basically, oneplus has restricted the maximum brightness you can get, to ensure longevity (FOR A GOOD REASON). use that app at your own risk, as toggling it on for long periods of time may be harmful for the phone, as that's not what was intended originally. please don't blame me if you use it without researching further. however, if you are smart about it, you'll be REALLY HAPPY with the results. HONESTLY!DESIGN/BUILD QUALITY: this is something HIGHLY subjective. beauty lies in the eyes of the beholder. personally, i'm in love with the minimalism and symmetry. despite the beautiful glossy finish of mirror black, i feel like midnight black/thunder purple showcases how much oneplus cares about ERGONOMICS. i am usually horribly careless with my phones. and this has a glass back, way less durable, seemingly. YET, i feel safe while holding this. they have oaid attention to subtle things, like the amount of curve at the edges of the backside, to make it easier to grip. the matte texture feels so close to a metallic surface, im not lying. if anyone you know has a 6 or a 6t with a matte surface, please do check it out. NOTE: please make sure you have a case on, as glass is glass.i have dropped this phone 4-5 times (which made my heart skip a beat every time). one of the corners has a slight dent (which still makes me feel really sad). however, the materials used are really good. op6 had gorilla glass 5, this has gorilla glass 6. don't be fooled though, glass always has a high chance of breaking. oneplus phones last a long while. they don't have any water/dust resistance certification, but the phone won't be damaged if it comes in contact with water. please don't push it though.FINGERPRINT SCANNER: *evil laugh* if you're still reading, i cannot thank you enough. i hope i was able to help you understand the experience a bit better. okay, i shouldn't stall amy more. the fingerprint scanner isn't as fast, or as secure, or as adept as a regular capacitive scanner (read: oneplus phones before 6t).DON'T MISUNDERSTAND THOUGH. if you don't compare, oneplus makes the experience seem really smooth. yes, the accuracy suffers a bit. BUT, the novelty of this feature, i feel, makes up for it. it makes me smile every time i use it.THAT'S NOT THE ENTIRE STORY THOUGH! oneplus claims it becomes faster with time. at first, in my first week, i felt like this was a smart way of creating a placebo effect. the words felt like a plain marketing talk. BUT, THEY WEREN'T WRONG. i understand the arguments against the scanner, mainly, a) it forces you to look at the screen everytime you want to unlock, in which case the face unlock despite being less secure, would be faster, b) the positioning could be better & c) the feedback doesn't induce confidence if you actually unlocked or not. true, true and true. BUT, as skeptic as i was, i promise you, it has gotten better and faster. how do i attest that? well, earlier success rate was 75%. it did feel like a let down. it seemed half baked. change for the sake of change. NOW, IT'S UP TO 95%. initially it made me feel angry at oneplus, as it felt like 'IS THIS IT FINALLY? has oneplus SETTLED?' *there you go, the headline of my review* jokes aside, the angles that would fail before, wouldn't fail anymore. i do have a guess at how they're achieving this, but i don't feel like boring you any more than i already have. i tried my best to be as honest and unbiased as i could have. let that strengthen your confidence in my verdict about the scanner. trust me. it gets better with time. this is due to artificial intelligence and i'm glad that they didn't loosely throw around the term (*cough* LG/HUAWEI/OPPO *cough*). the way artificial intelligence works, i can ASSURE you that it should get better with time. it has, for me.NOTE: screen protectors do change the experience. oneplus recommends you to re-register the prints. this is definitely a huge annoyance, as it could lead to wastage of money just to figure out what works. i suggest go with reviews, ones which have a more number of reviews, especially 3-4 stars and not 5. if you see a 5 star rating, it probably was the brand itself.i apologize for this long read. if you still are reading, then i think i can assume that you long for this phone. else you wouldn't have read this far. i understand. just, go for it. it's worth it as long as you don't have an op6. wait for 7 if you really want an improved experience. actually, the way they work, and if it means that much to you, wait for op7t. it'll be worth the wait. moreover the op6 will last you well over two years.signing off,alimpan pal (op6t 8+256gb)ps: i dropped out of college to pursue filmmaking. would mean a lot if you visited my instagram page. currently working on my own domain. till then please check out my work, it's all based on phones, you'll definitely find it unique. look up _theunbreakablevow_ (with the underscores).
            "
5.0 out of 5 stars,"The first impression about the phone is that it feels premium in hand. I bought the 6GB, 128 GB, mirror black version.PROS :- Premium feel,- Super fast processing,- Super smooth UI,- Impressive battery life going on 1 and half day on normal usage and one full day on intense usage,- Camera quality is phenomenal,- Sound quality is great,- Face recognition is fastest possible and works in the dark also,CONS :- Has very slippery back, can't be used in daily routine without a back cover,- Water drop notch doesn't feel that good (it is my personal view),- Notification bar is unreachable on single hand use,- Sometimes I struggle to hear the voice on call, I don't know if it is because of the earpiece positioning or I am not used to of having a phone this big,- The ""On screen fingerprint sensor"" is not that fast, it took around 2 seconds to unlock at first but now taking lesser after update. But still, not fast as the physical sensor. Secondly, it doesn't recognise the fingerprint sometimes so that I have to reposition my finger. I barely use it because it has face recognition which is fastest.Overall, it is one of the best phones Available in the market.
            "
3.0 out of 5 stars,"As mentioned in the subjects is no doubt a masterpiece product... but just a suggestion don't go for the exchange offer!!! Reason  being the delivery guy drops in at 8am in the morning and does not wait cause he is in a hurry I needed to check the product wasn't even ready to handover my phone because it had all the data ...lost most of it thanks to the delivery boy so had a very bad experience before even getting my new 6t phone
            "
5.0 out of 5 stars,"awesome device but little bit over priced.good built quality.Face unlock is very faster but not safe it unlock while showing my photo also so be careful.In display fingerprint sensor is good but completely not work when your hand is wet.Good camera quality it beome even better when using pixel 3 camera apk.Display is good but when compared to my note 9 it is only average.fast charging is superb.battery last for 1 day in normal usage and while playing pubg continuously it last for 3 to 4 hrs.No lag no heat issue.Speaker sound quality is good.Recently some news came that one plus 6t has little bit high radiation level.
            "
5.0 out of 5 stars,"I know there is lot of people who confuse to buy it,they think is it worth for money or not? let me tell u my story i have had used many samsung high end phones before like note 4, note edge,s8 grand 2, so i was very confuse to buy oneplus bcz i was scare is it good or not after all its a 40k phone.my frnds also told me that try something diffrent and after thinking 8 days i had order this phone and now m using this phone since a month, and blv me guys this phone is amazing specialy performance..yup i accpt samsung high end phone displays are best. but blv me guys u will love this display bcz it has also a amoled pannel and the performance like this phone i have not found even in 50 to 60k phones..the performance is super in this phone which is most important i think..In a high budget phone,i would say guys i bet u will definately love it..this is my opinion
            "
5.0 out of 5 stars,"Bought ONEPLUS 6T 6gb ram with 128gb varient.Ultimate feateared mobil devise I ever used till now.Just awesome, met all the technological aspects of future.Now I stopped surfing for latest mobile phones. So why this stands ultimate. Moreover this would be a very big growth in quality mobile which even beats APPLE. Now allover the world started pricing ONEPLUS.Pro:Finger print on displayHuge quantity sound speakersOptimum quality of displayQuality battery of 3700mah ST by 36 hrs with data pack on.Camera = to DSLR with Pro mode and night mode shootRapid fast processorOxygen os makes you breathe easyRapid fast charging  = 0 to 100 % in 45min.Great photos quality with high resolution.Con:3.5mm jack unavailability makes you uncomfortable.Thanks ONEPLUS 🤗
            "
5.0 out of 5 stars,"Like the tagline says #NeverSettle stands with this flagship killer. I was an iOS user, after great hesitant I had to move to Android due to Apple's #HighCostNoValue motto.Pros:- Amazing full display- Top notch build quality- Fluidless OxygenOS- Big battery which will go more than a day even after playing games (PUBG) for long time- Fast charging (Love this feature)- Stylish panel- Flawlerss gaming experience, zero lags.- Infinite features compare to AppleCons:- No Stereo speaker. A single speaker will block the sound completely if you are playing a game and you cover the speaker by your hand- No headphone Jack (Works for me as I use bluetooth headset)- Low light photography needs an improvement- In built finger print is not fast than the normal fingerprint scanner.  Face unlock will unlock your phone faster than the fingerprint scanner.  I personally feel this technology was not needed at all.Thats all as of now, will update the list after few months.Conclusion: Go for it if you need a powerfull phone under 40K.
            "
5.0 out of 5 stars,"Spent a few days with the phone now and I like it so far. The screen is awesome and the notch is not that bad. The phone feels fast and responsive and oxygen os is pretty good in my opinion. The camera is decent although I would have loved a different secondary lens like a wide angle one. Battery lasts me a full day easily and still has 30% charge remaining by the end. There are a few minor compromises but they dont matter to me personally so I have nothing to complain but i'll still list them out. They say its water resistant but it has no IP certification so I don't know exactly how water resistant it is. No headphone jack but I already used bluetooth headphones even when my phone had a headphone jack so not missing it at all. No wireless charging but I dont use that either so doesn't matter to me. Lastly to me the phone is a looker, I love its looks and seamless design.So at the end for me personally I am getting everything I wanted out of a phone for 20k less than flagship prices so I am happy.
            "
4.0 out of 5 stars,"1. ₹36,000/- is too much for this phone.2. Battery is lasting for 7 hrs if we use it continuously, without playing any games.3. On-screen fingerprint is worst, not working properly. Terms and conditions: we need to accept every T&C, otherwise we can return the phone, this one sucks.4. Fabulous look5. Awesome speed.6. Camera quality is extraordinary.7. Sound quality is good.
            "
4.0 out of 5 stars,"Camera work comparatively compromising with iphones else best flagship phone yet
            "
2.0 out of 5 stars,"So, this might be a single case and not a very common issue with everyone, but yeah, here it goes-Picture Quality - the pictures are good, crispy clear, but for some reason it takes an awfully long time to snap a picture, and hence you're never able to capture the right moment, and all this on the default settings, no portrait mode, no other app, default camera app with default settings.Sound Quality - it's okay, it's a phone not a expensive Bluetooth speaker, but yeah, you'll have to buy a Bluetooth earphones/headphones with this phone.Battery Life - does charge pretty fast, but looses all the juice pretty quick, I feel like it's a software issue and I hope it goes away in the next updateOverall UX- not that great, it might be because it's android, or the one plus skin on top, but the UX is just not crisp or enjoyable to navigate.
            "
4.0 out of 5 stars,"Initial review:Pros:1. Looks amazing2. Superb display with tear drop notch3. Inbuilt call recording feature4. Indisplay fingerprint sensor (but slow and inaccurate sometimes)Cons:1. Average camera quality2. User interface needs more hard work to compete with samsung's interface for eg you cant make folders in apps section. Folders can only be made on homescreen etc3. No wireless charging4. Not complete water and dust proof5. Speaker's loudness is not as good as samsung phones have6. No headphone jack7. No expandable memory8. Midnight black (matte finish at back) not available for 6gb phone9. No ultra wide camera10. No led notification light11. No front flash12. Bit expensiveStill a great value proposition.
            "
3.0 out of 5 stars,"There is no notification led... I really don't like the animation in the finger print censor. Expected slimmer phone . But one plus 6t feels heavy !!!
            "
5.0 out of 5 stars,"Pros:1.Battery doesn't know when to die..it goes on...such is the battery life!!2. Low light camera is extraordinary!!3. Touch screen is super smooth.4. Reading mode is available which is I think a very good idea from OnePlus!!5. Navigation gestures are improved.6. Super fast, flagship processors!!Cons:1. Face unlock isn't the best. Doesn't work quite well in low light..but when it works it's very fast!!2. The in display fingerprint scanner is also very fast but not that much reliable like that ultrasonic sensor present in the OnePlus 6. Sometimes you have to position the finger properly to unlock.  But I am sure that OnePlus is working on it and it will be improved in the coming updates.Overall: fantastic phone...worth of money...go for it!! You will not regret!!
            "
1.0 out of 5 stars,"1. Major application are not working in this phone as per specifications like sound, camera  and ring tune issue.3. Camera quality is very poor and video recording is not working, it is showing an error message while record video.4. Audio output of this phone is very bad, it is automatically go high and low when watching youtube, listening songs or any thing.5. While in any incoming or outgoing call loudspeaker mode turn on automatically and ring tune sound comes in beep beep notification tune, sometimes not showing any beep notification too for incoming call.6. Camera quality is very poor compared to other  phones.I have applied for refund, but they are arranging techinician visits again and again, i am  not going to take any replacement for such a worst product.No solution provided from amazon till yet.
            "
5.0 out of 5 stars,"The product and its packing is very good.....only the minus point is one plus is not providing its own earphone with its smart phones..kindly look into and do the needful next time...a good phone without earphone is not suitable...i am using my vivo earphone with it which is also a wonderful experience....but is it ok?? one plus smart phone with vivo earphone what i am using???waiting for next time.....with something more surprising from one plus..
            "
4.0 out of 5 stars,"Review on the forst week:Me using Android didn't find any added advantages over other mobiles that i have used like vivo, mi, honor, lenovo etc.,Yes, the major is speed, display and image quality.Onscreen fingerprint sensor is working much slower when hand has very little moisture even. Not satisfied with that.Whyswitch for ring/vinraye/silent is given couldn't understand.Had played a simulator game for 15 mins and phone heated up like hell. Have to check more on this issue.Packing of one plus, the elegant and stylish look are the pros pleased me. Other than that, i found OnePlus 6t as normal Android phone from other makers.
            "
4.0 out of 5 stars,"Lock / Unlock...Sometimes this new phone hangs when we unlock . Does not recognise finger or face both or does not even sense touch screen.. Then whats the difference between a samsung old phone and a new One plus 6 T ?!!!Camera is Good, but low light is still a problemCornilla Glass - my phone's screen is chipped out a bit on the left edge on its own with one month's usage, Not sure if the company will replace free of cost?Applications are fast in this 8 GB RAM phone. Full Thums Up!Sound quslity does not match to a Samsung Note or S7Battrey life is Good for a full day use and charges quickly
            "
5.0 out of 5 stars,"Very nice phone as expected from the tech giants.Battery life is good not best I can say despite of increased capacity.It is hell fast and smooth.Camera quality is awesome.Sound is loud and clear.Fingerprint sensor needs a bit improvement.I am  quite satisfied with these phone.Would definitely recommend if u want good processor and performance in this budget.
            "
2.0 out of 5 stars,"I didnt realize display is rounded. Looks odd.
            "
5.0 out of 5 stars,"Moving from a Galaxy S8 to the Oneplus 6T might just be one of the best decisions in my lifem.ProsWonderful Screen (S8 had a higher resolution panel, but literally I've always used it on FullHD+)Great Battery (Easily lasts a day. On the other hand, S8 after one year of usage required to be charged at least thrice a day)Performance (It's fast, blazing fast! Whereas my S8 became Laggy just within 6 months of the purchase)Design (This is a personal preference. I love the matte finished glass )Software (Pure stock experience with some good OxygenOS tweaks. I love it. )Camera (Not up to Samsung standards but not far behind either)Price (Still a bang for your buck)ConsNo IP ratingNo headphone jackSpecial Mention :The In-Display fingerprint scanner looks cool. Pure showoff stuff. Slow but feels secure.I'd recommend the 8+128 combination. And it's Still a flagship killer to me.
            "
5.0 out of 5 stars,"Upgraded from one plus x to the 6t. Just from 10 day's of experience I would say.. oh my God.. this is 'The Phone'... Hit all my expectations and even beyond that..+ vesAndroid Pie.. no words to describe.. fine experienceWater drop notch gives me bigger displayOptic amoled display gives nice exp.. with night mode, reading mode etc..Gives me two full-day battery life (just mine exp)20+16 Camera including image stabilization,night mode and Google lens amazing featuresGives me beautiful selfies with 16 front cameraFace recognition too fastI'm stopping.. it's countless...- vesNo headphone jack - it doesn't bother me at all!Infingerprint scanner it's fast and fine but it has a small delay. You place the finger.. hold... Then it's open not as fast as one plus 6 and not too slow...  But this phone's face id improved very much ..Top camera in duel camera, it's just only for portrait mode.. you can cover it for all other modes no problem. Even though this phone gives you depth photos...These are not big limitations concerning it's plus ponits.. if you are confused to buy or not, I recommend you to go for it. It's the only phone in the market with enormous features in this budget.
            "
5.0 out of 5 stars,"This mobile is the best I have ever seen before... Picture quality and speed are awesome.. Sound is bit louder. Battery is the main perspective for me and it fulfilled that with great battery life.... Gaming experience is super graphics are awesome and not hanging even if it's a full graphical game. Camera is good. Overall it's the best.
            "
1.0 out of 5 stars,"Amazon Oneplus lucky star is a new way to scam people, luring them to buy Oneplus 6T. When I called the customer care before buying the phone, he said 600 individuals are getting 600 prizes. After purchasling the phone, the customer care is saying 1 person is getting all 600 prizes which doesn't make sense. What would one person do with 600 gifts which is a obvious scam by Amazon. The customer care of Amazon gives wrong information to the customers luring them to buy the product. Really a cheap trick by Amazon Oneplus lucky star! I ended up buying this product! Please don't fall for such offers! Be aware people!
            "
1.0 out of 5 stars,"Camera flash is not workingDisappointed from One + 6T ....
            "
5.0 out of 5 stars,"Great picture QualityGoogle’s Android is the best AndroidMuch-improved designBreathtaking camera both on the front and backBattery life is far better than other smartphone in this segmentPrice is very much under control when compared to the features of the phoneDisplay is just awesomePhone speed is lightning fastPhone is being fully charged in just 34 minutesThe best part of the phone is it's In display Finger Print sensor !!I have just started using the phone ,will continuously post the pros and cons of the phone as I use it more !!!
            "
5.0 out of 5 stars,"Amazon delivered this beauty ontime. This is my first OnePlus device and I am just loving it. The device is very smooth and performance is crisp. Only issue I am facing is with the battery life, it's draining very fast and surprisingly Google Play is consuming maximum power. I hope OnePlus will fix this with an update. Also, I am really impressed with the fast charging in this phone, it's superfast. Highly recommended.
            "
5.0 out of 5 stars,"Amazing product from OP6 suite. This McLaren limited edition is a next level phone in speed. I'm happy with overall performance except battery. For a premium limited edition phone I'll expect a better capacity battery. More device reviews to follow.Delivery package wasn't appearing in good state while delivered. Should have been a secure package and I was concerned if I'll be getting the stuff intact.  Seller and Amazon should ensure while delivering a costly product as there have been many cases of tampering the packages.
            "
5.0 out of 5 stars,"It is the greatest phone ever! Good hardware combined with excellent software.6T ticks all the boxes of the modern day flagships, plus it has in-display fingerprint which is surprisingly fast and more convenient than the one mounted on the back.It has improved battery backup, large storage options at relatively same price, excellent memory management and the best UI you will find on a phone.The Oxygen OS gives you the latest offerings from Android and is very responsive and very pleasing just to look at!😍 It gives you a lot of customisation options to make your phone feel more personal.The only small setback is an average camera. But don't worry, it's pretty good and can do a great job capturing images and won't disappoint you.This is the best buy for 30-40k budget segment and you won't regret buying it.I am very happy with this phone.😍❤️ Oneplus!
            "
5.0 out of 5 stars,"Switched from Samsung S6. Damn happy to switch to OP.Best battery life.Best performance.Amazing camera both rear and front.Nice built in features like phone mode change slider, call record etc.Superb screen.Complete button less onscreen handling with new gestures......and list goes on.I bet nobody can ever regret buying this beast, not sure about iphones but surely better option than Samsung counterparts at this price.
            "
5.0 out of 5 stars,"so this was my first oneplus device and I was expecting a lot for it ,after using it for 7 days here is its honest reviewPros.•amazing speed amazing with fast charging and very clean OS•speakers are too damn good•the inbuilt fingerprint sensor is very fast and looks pretty cool so is the face unlock•really premium look and solid built•Gorilla glass 6 protectionCons• nightscape mode doesn't work as fine when compared to pixel 3 XL or what has been show at that launch• again the camera is just average but really better than poco f1 but not as good as pixel 3xl ,but it works fine•3.5 mm headphone jack is missing but don't worry you won't miss him that much the type C headphones are quite amazing•someone's are found When You oxygen OS but oneplus will remove them very quicklyVerdict : go for it it's the best phone in price range and I would say it's far better than poco F1.Don't think twice ,get this device😁😁
            "
5.0 out of 5 stars,"While there are some drawbacks, the other features overcome them easily.The OnePlus 6T is One of the Fastest Phones in The World Right Now.Fantastic Battery Backup, Amazing Display, Even Better Under-display Fingerprint Scanner and Premium looks; all together make this a beast to claim.Although the price is a bit higher but if you can tolerate that, then this is the one that I'd recommend. P.s. Pixel 3 and Px 3 XL are even more costlier than the highest end variant of this phone.No need to upgrade if you own a OnePlus 6bor even 5T. But those who are using an outdated phone like me, this is the best upgrade currently available.Overall, it's a worthy phone.
            "
2.0 out of 5 stars,"LAG HEAT UP CAMERA CRASH issueUsing this phone from past 10-15 days, and found below issues.1. RAM: To much lagging issue arises with this phone2. Camera: Camera application crashes while taking images in portrait mode.3. Head Up issue while charging and using phone4. Fingerprint fails features sometimes to recognize.5. No 3.5 mm jack, you need to use Jack adapter to plugin your headphones, once lost you have to buy a new adapter or you would be bound to purchase Bluetooth headset.6. Using MI (Xiaomi) phones from past 2-3 years, the features which MI provided are far better than this phone.Better things:1. Screen quality and resolution is good.2. Screen (Gorilla) glass is very much stronger,3. Scratch proof screen and back body4. Camera quality is brilliant.5. Charging is too cool, charge 0% phone to 100% in just 35-45 minutes6. Speakers is too loud and clear, which suffix issue of purchasing any portable speaker.Cost of this phone is too high, so better to purchase any other phone like MI or Samsung (J series) which provide same features or add-on features than this phone.
            "
5.0 out of 5 stars,"It's been 15 days I have been using 6T. Let me tell you it is one of the best, finest Android phones you will ever use. Butter smooth. Faster. Cream.With the moderate use, the battery lasts for 1.5 days. It comes with Dash charger, Protective case, and Adapter with the headphone jack.Once the factory screen guard is spoiled or removed, the next only option is Tampered Glass. The original one from OnePlus is quite costly. The cheaper ones are unable to cover the entire screen because of the curvey edges.If you are considering to buy this, buy it.
            "
3.0 out of 5 stars,"Have been using One Plus phones from the 3T days and even though there is a lot of hype with each new version this one does not stand up to the hype. Till date the best One Plus has to be the 5T and except for a few gimmicks (for e.g. the on display finger print scanner) there isn't much that goes for this phone. So why did I buy this one. Very simple, I did not want to miss the UI on the phone as it is the closest you get to a stock Android feel w/o having to bust your bank to buy the Google Pixel and the base variant this time comes with 128 GB storage which was helpful since I had almost used up all the storage (of 64 GB) on my 5T. Also, I got could not resist the buy-back guarantee and feel I invested in this one for a better experience on the next T version.So let's come down to the Pros & Cons.PROS -* The closest you can get to a stock Android UI* Fast charging* DisplayCONS -# Heavy!# Camera hangs up!!# Camera modes s**k and the only useable mode is the normal mode & portrait mode!!!# Nothing significantly different from 5T!!!!
            "
4.0 out of 5 stars,"Been only a few days since I am using this. Good so far.Pros: battery life, ease of use, display size, back camera, speed.Cons: doesn't charge rapidly with other high power charger, front camera is just about OK, lil expensive should have been a few more thousands cheaper, should have mid night black option in the lowest varient, since I switched from Samsung s8 I miss secured folder where I can add any number of parallel apps oneplus it's limited 3 or 4 only, absence of notification light.I personally use Bluetooth earphones so the absence of 3.5mm jack didn't make much of difference to me.All in all with exchange and Axis bank discount I got a really sweet deal. If you can get one like that go for it.
            "
4.0 out of 5 stars,"I like the phone very much. Messages option is very nice. Sending all notifications under one category. But it would be better you should have provided FM(Radio) default app also. Also all the pics if displayed at one place will be easier. Now we have to go to collections and search if we require any pic that was sent from friends.I didn't understand how the second camera works. If there is no option of changing camera, what is the use of giving 2 cameras backside?
            "
5.0 out of 5 stars,"5 stars for the device. It's the best. But 0 stars for the service I have received. I ordered this phone on 19th December, 2018 and I received it on the very next day. I tried to secure the device against accidental damage, but I came to know that I hadn't received the ""P-slip/warranty"" invoice which is required to claim warranty or insure your device. I have raised multiple complaints since January, 2019 only to be disappointed. I am still in contact with Amazon Executive Customer Relations Team and they are doing a fine work of disappointing me. It's been 4 months of without warranty or protection against accidental damage. If anything happens to my device, I will be at loss. And I'm really regretting now spending so much on this device as I could have gone to black market if I wanted to buy this phone without warranty and saved a lot of money.Update: After 4 months of suffering, they have agreed to replace the product. They have initiated a replacement request and I will get a fresh handset with new invoice. Not so angry anymore!
            "
